DistrictId,DistrictName,NcesId,SchoolId,SchoolName,StudentIdentifier,FirstName,LastOrSurname,SubmitDateTime,SchoolYear,TestSessionId,AssessmentType,AssessmentSubType,AssessmentName,Subject,GradeLevelWhenAssessed,Completeness,AdministrationCondition,ScaleScoreAchievementLevel,ScaleScore,ScaleScoreStandardError,Alt1ScoreAchievementLevel,Alt1ScaleScore,Alt1ScaleScoreStandardError,Alt2ScoreAchievementLevel,Alt2ScaleScore,Alt2ScaleScoreStandardError,Alt3ScoreAchievementLevel,Alt3ScaleScore,Alt3ScaleScoreStandardError,Alt4ScoreAchievementLevel,Alt4ScaleScore,Alt4ScaleScoreStandardError,Alt5ScoreAchievementLevel,Alt5ScaleScore,Alt5ScaleScoreStandardError,Alt6ScoreAchievementLevel,Alt6ScaleScore,Alt6ScaleScoreStandardError,Claim1ScoreAchievementLevel,Claim2ScoreAchievementLevel,Claim3ScoreAchievementLevel,Claim4ScoreAchievementLevel,Claim5ScoreAchievementLevel,Claim6ScoreAchievementLevel,MigrantStatus,LanguageCode,LanguageAltCode,EnglishLanguageAcquisitionStatus,EnglishLanguageAcquisitionStatusStartDate,HispanicOrLatinoEthnicity,AmericanIndianOrAlaskaNative,Asian,BlackOrAfricanAmerican,White,NativeHawaiianOrOtherPacificIslander,TwoOrMoreRaces,Filipino
12345678900000,Sample School District,123456789012,12345678901234,Sample School A,STU000001,Student,Sample1,2025-04-01 00:00:00.000,2025,,Summative,SUM,CAA ELA Grade 11,ELA,11,Partial,Valid,,,,,,,,,,,,,,,,,,,,,,,spa,01,EL,,Yes,,,,,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901235,Sample School B,STU000002,Student,Sample2,2025-04-02 01:01:00.000,2025,,Summative,SUM,CAA ELA Grade 3,ELA,03,Complete,Valid,1,315,6,,,,,,,,,,,,,,,,,,,,eng,,,,,,,,Yes,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901236,Sample School C,STU000003,Student,Sample3,2025-04-03 02:02:00.000,2025,,Summative,SUM,CAA ELA Grade 4,ELA,04,Complete,Valid,1,431,7,,,,,,,,,,,,,,,,,,,,spa,01,EL,,,,,,Yes,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901237,Sample School D,STU000004,Student,Sample4,2025-04-04 03:03:00.000,2025,,Summative,SUM,CAA ELA Grade 5,ELA,05,Partial,Valid,,,,,,,,,,,,,,,,,,,,,,,eng,,,,Yes,,,,,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901238,Sample School E,STU000005,Student,Sample5,2025-04-05 04:04:00.000,2025,,Summative,SUM,CAA ELA Grade 6,ELA,06,Complete,Valid,1,647,9,,,,,,,,,,,,,,,,,,,,spa,01,EL,,,,,,Yes,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901239,Sample School F,STU000006,Student,Sample6,2025-04-06 05:05:00.000,2025,,Summative,SUM,CAA ELA Grade 7,ELA,07,Complete,Valid,1,736,10,,,,,,,,,,,,,,,,,,,,eng,,,,,,,,Yes,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901240,Sample School G,STU000007,Student,Sample7,2025-04-07 06:06:00.000,2025,,Summative,SUM,CAA ELA Grade 8,ELA,08,Partial,Valid,,,,,,,,,,,,,,,,,,,,,,,spa,01,EL,,Yes,,,,,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901241,Sample School H,STU000008,Student,Sample8,2025-04-08 07:07:00.000,2025,,Summative,SUM,CAA Math Grade 11,MATH,11,Complete,Valid,1,918,12,,,,,,,,,,,,,,,,,,,,eng,,,,,,,,Yes,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901242,Sample School I,STU000009,Student,Sample9,2025-04-09 08:08:00.000,2025,,Summative,SUM,CAA Math Grade 3,MATH,03,Complete,Valid,1,328,13,,,,,,,,,,,,,,,,,,,,spa,01,EL,,,,,,Yes,,,,,,,,,
12345678900000,Sample School District,123456789012,12345678901243,Sample School J,STU000010,Student,Sample10,2025-04-10 09:09:00.000,2025,,Summative,SUM,CAA Math Grade 4,MATH,04,Partial,Valid,,,,,,,,,,,,,,,,,,,,,,,eng,,,,Yes,,,,,,,,,,,,,
