codeValue,description,namespace,shortDescription
Composite Score,Early Reading English Composite Score,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Composite Score
School Percentile,Percentile rank at school level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Percentile
LEA Percentile,Percentile rank at LEA level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,LEA Percentile
National Percentile,Percentile rank at national level,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Percentile
Risk Level,Risk level assessment,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Risk Level
Total Words Read,Total number of words read,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Words Read
Words Read Correct,Number of words read correctly,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Words Read Correct
WRC per minute,Words read correctly per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,WRC per minute
Median Accuracy,Median accuracy percentage,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Median Accuracy
Error,Number of errors made,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Error
Total Items,Total number of items attempted,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Total Items
Items Correct,Number of items answered correctly,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Items Correct
IC per minute,Items correct per minute,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,IC per minute
Growth Score from Fall,Difference between two assessment scores across different periods compared to fall of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Fall
School Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Fall
District Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Fall
National Growth Percentile from Fall,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Fall
Growth Percentile by Start Score from Fall,"Ranking of a student's growth relative to other students who had similar starting scores compared to fall ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Fall
Growth Score from Winter,Difference between two assessment scores across different periods compared to winter of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Winter
School Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Winter
District Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Winter
National Growth Percentile from Winter,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Winter
Growth Percentile by Start Score from Winter,"Ranking of a student's growth relative to other students who had similar starting scores compared to winter ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Winter
Growth Score from Spring,Difference between two assessment scores across different periods compared to spring of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Spring
School Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Spring
District Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Spring
National Growth Percentile from Spring,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Spring
Growth Percentile by Start Score from Spring,"Ranking of a student's growth relative to other students who had similar starting scores compared to spring ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Spring
Growth Score from SP 4,Difference between two assessment scores across different periods compared to screening period 4 of the same school year,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Score from Screening Period 4
School Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the school compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,School Growth Percentile from Screening Period 4
District Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the district compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,District Growth Percentile from Screening Period 4
National Growth Percentile from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores in the nation compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,National Growth Percentile from Screening Period 4
Growth Percentile by Start Score from SP 4,"Ranking of a student's growth relative to other students who had similar starting scores compared to screening period 4 ranking",uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,Growth Percentile by Start Score from Screening Period 4
No Score,No Score,uri://fastbridge.org/assessment/AssessmentReportingMethodDescriptor,No Score
