student_number,suns,firstname,lastname,middlename,dob,gendercode,ishispanic,reportingethnicity,testfamilydefinition,administration,startdate,enddate,collectionid,schoolyear,districtcode,testadministration,datetaken,schoolcode,id,studentid,gradelevel,showmebook,namewriting,letterknow,phonseg,phondel,corerdg,corewtgvocab,nonficshowmebook,phon,spell,benchmarkorbridgelevel,equatedlevel,acc,comp,fluencyrubric,wcpm,onsets,rimes,conventions,message,spellinginventory,showmebookstanine,spellingstanine,letterknowstanine,phonsegstanine,phondelstanine,corerdgstanine,corewtgvocabstanine,phonstanines,onsetsstanine,rimesstanine,spellinginventorystanines,transferitemid,source,selfcorrectionrate,meaning,visual,_enrich_cansubmit,_enrich_datecollected,_enrich_datemodified,_enrich_datesubmitted,_enrich_errorcount,_enrich_externalid,_enrich_fileid,_enrich_id,_enrich_infocount,_enrich_isedited,_enrich_warningcount
11111,1111111111,firstname1,lastname1,middlename1,2007-03-21T00:00:00Z,F,FALSE,W,DOMINIE,2014 Fall,2014-08-18T00:00:00Z,2014-09-19T00:00:00Z,DOMH,2025,111,C5F2E864-ECE8-4692-BCDE-C5F499BCFCF1,2014-09-29T00:00:00Z,11,98CEBDF0-A410-484F-8FC8-43BC2FE1470D,0F5DCC41-4C04-4C73-9B7A-10063A6003DF,02,,,,,,,,,65,9,6,1.7,96,88,,,,,,,,,4,,,,,,7,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,b2af381f-f663-481a-953f-397a3c364970,546888A9-1AA1-4511-BE55-D73BC0F86819,FDF88E92-B25D-4ADD-A954-BA9E55EDDE7B,0,FALSE,0
22222,2222222222,firstname2,lastname2,middlename2,2008-02-06T00:00:00Z,F,FALSE,W,DOMINIE,2014 Fall,2014-08-18T00:00:00Z,2014-09-19T00:00:00Z,DOMH,2025,111,C5F2E864-ECE8-4692-BCDE-C5F499BCFCF1,2014-09-22T00:00:00Z,22,2942C843-7477-45E7-B113-5687F8E15FA7,AA30A928-BAE1-45F6-B142-10091964C9E4,01,,,,,,,,,48,12,7,2,98,75,4,,,,,,,,7,,,,,,9,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,e31fbb10-41bc-485a-a8ff-55a23080cccc,546888A9-1AA1-4511-BE55-D73BC0F86819,20C58ADD-E49A-4D74-89E8-B3369FA10C07,0,FALSE,0
22222,2222222222,firstname2,lastname2,middlename2,2008-02-06T00:00:00Z,F,FALSE,W,DOMINIE,2014 Spring,2014-04-01T00:00:00Z,2014-04-30T00:00:00Z,DOMH,2025,111,BEA2EA7B-9A62-4F98-921F-EE4CB1F9E05F,2014-05-16T00:00:00Z,22,CD71783E-518B-48F1-9A56-BC2ECC189405,AA30A928-BAE1-45F6-B142-10091964C9E4,00,17,4,52,,,,,,,,5,1.5,97,100,,,,,,,,9,,9,,,,,,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,589b044e-bce2-4474-967b-3b29ac7cd5a6,546888A9-1AA1-4511-BE55-D73BC0F86819,9748A14E-58E2-40AC-91E1-B12B659E3B68,0,FALSE,0
22222,2222222222,firstname2,lastname2,middlename2,2008-02-06T00:00:00Z,F,FALSE,W,DOMINIE,2014 Winter,2013-12-02T00:00:00Z,2014-01-31T00:00:00Z,DOMH,2025,111,68A6DD64-38AC-4197-82D8-E1F488893079,2014-01-24T00:00:00Z,22,91C8B385-393C-4ECA-90F7-83D4C0C28FD8,AA30A928-BAE1-45F6-B142-10091964C9E4,00,,,,,,,,,43,8,,,,,,,,,,,,,7,,,,,,9,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,9e251505-97b0-4663-a7bd-c61d775520f9,546888A9-1AA1-4511-BE55-D73BC0F86819,7EB7E006-6821-4E1D-9E25-67EFD7892063,0,FALSE,0
22222,2222222222,firstname2,lastname2,middlename2,2008-02-06T00:00:00Z,F,FALSE,W,DOMINIE,2015 Spring,2015-04-13T00:00:00Z,2015-05-01T00:00:00Z,DOMH,2025,111,1A4607A5-1F68-494D-8991-CEB419E78AFD,2015-05-13T00:00:00Z,22,45340A27-8748-474C-BD8B-E7A81AF0383D,AA30A928-BAE1-45F6-B142-10091964C9E4,01,,,,,,,,,,,8B,2.9,96,89,4,,,,,,,,,,,,,,,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,ef6f14b2-dad7-4d51-af6b-a4f51b5d9017,546888A9-1AA1-4511-BE55-D73BC0F86819,26A71A9D-B8E2-4E2C-8CC1-24661D840030,0,FALSE,0
33333,3333333333,firstname3,lastname3,middlename3,2006-11-11T00:00:00Z,M,FALSE,W,DOMINIE,2014 Fall,2014-08-18T00:00:00Z,2014-09-19T00:00:00Z,DOMH,2025,111,C5F2E864-ECE8-4692-BCDE-C5F499BCFCF1,2014-09-11T00:00:00Z,33,FC11CBE4-4A70-4351-849A-834DDFA9B78A,AA29F3FC-6054-4AA0-9E68-101657755CB9,02,,,,,,,,,,,7A,2.1,98,75,3,93,,,,,,,,,,,,,,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,092734b0-0672-4098-958f-40811689a811,546888A9-1AA1-4511-BE55-D73BC0F86819,3743B79C-1F40-421A-B80A-2B9B7BE40778,0,FALSE,0
33333,3333333333,firstname3,lastname3,middlename3,2006-11-11T00:00:00Z,M,FALSE,W,DOMINIE,2014 Fall,2014-08-18T00:00:00Z,2014-09-19T00:00:00Z,DOMH,2025,111,C5F2E864-ECE8-4692-BCDE-C5F499BCFCF1,2014-08-26T00:00:00Z,33,4F1D5DB6-62D1-4206-993B-DA6621E019EC,AA29F3FC-6054-4AA0-9E68-101657755CB9,02,,,,,,,,,60,14,,,,,,,,,,,,,9,,,,,,6,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,0f8c9515-8558-418f-b0d7-ff165b55356b,546888A9-1AA1-4511-BE55-D73BC0F86819,7002DC11-8307-40AB-B316-C30EB937D578,0,FALSE,0
33333,3333333333,firstname3,lastname3,middlename3,2006-11-11T00:00:00Z,M,FALSE,W,DOMINIE,2014 Spring,2014-04-01T00:00:00Z,2014-04-30T00:00:00Z,DOMH,2025,111,BEA2EA7B-9A62-4F98-921F-EE4CB1F9E05F,2014-05-15T00:00:00Z,33,0764B2DC-6F50-4CD3-954C-38F9E5DB549C,AA29F3FC-6054-4AA0-9E68-101657755CB9,01,,,,,,,,,,,7,2,99,88,4,,,,,,,,,,,,,,,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,ae40e600-a910-41da-aa0a-ed2150f4ae32,546888A9-1AA1-4511-BE55-D73BC0F86819,0621BAF3-0A48-4FFC-B010-D364561A8734,0,FALSE,0
33333,3333333333,firstname3,lastname3,middlename3,2006-11-11T00:00:00Z,M,FALSE,W,DOMINIE,2014 Winter,2013-12-02T00:00:00Z,2014-01-31T00:00:00Z,DOMH,2025,111,68A6DD64-38AC-4197-82D8-E1F488893079,2014-01-13T00:00:00Z,33,41127439-7C87-454C-A00A-35181D7DFB23,AA29F3FC-6054-4AA0-9E68-101657755CB9,01,,,,,,,,,,,5,1.5,98,80,4,,,,,,,,,,,,,,,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,612f8993-073b-41e5-baff-28fb2c51f425,546888A9-1AA1-4511-BE55-D73BC0F86819,BE09275D-A40D-415B-A2FC-0F1A190505E2,0,FALSE,0
33333,3333333333,firstname3,lastname3,middlename3,2006-11-11T00:00:00Z,M,FALSE,W,DOMINIE,2015 Spring,2015-04-13T00:00:00Z,2015-05-01T00:00:00Z,DOMH,2025,111,1A4607A5-1F68-494D-8991-CEB419E78AFD,2015-04-28T00:00:00Z,33,775413AD-7209-4A43-87CB-C84E1F814146,AA29F3FC-6054-4AA0-9E68-101657755CB9,02,,,,,,,,,,,9,3,98,75,3,106,,,,,,,,,,,,,,,,,,,,,,TRUE,2024-12-06T08:08:43.967Z,2024-12-06T08:08:43.967Z,,0,7ffffb1c-3d03-40d3-bbd3-099746f02277,546888A9-1AA1-4511-BE55-D73BC0F86819,736F4599-2789-4A2B-B5D5-6E88C69A5834,0,FALSE,0
