codeValue,description,namespace,shortDescription
Overall Scale Score,Overall Scale Score,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Overall Scale Score
Overall Vertical Scale Score,Overall Vertical Scale Score,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Overall Vertical Scale Score
Overall Performance Level,Overall Performance Level,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Overall Performance Level
Standards Performance Level,Standards Performance Level,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Standards Performance Level
Lexile Score,Lexile Score,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Lexile Score
Lexile Min,Lexile Min,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Lexile Min
Lexile Max,Lexile Max,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Lexile Max
Lexile National Percentile Rank,Lexile National Percentile Rank,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Lexile National Percentile Rank
Quantile Score,Quantile Score,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Quantile Score
Quantile Min,Quantile Min,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Quantile Min
Quantile Max,Quantile Max,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Quantile Max
Quantile National Percentile Rank,Quantile National Percentile Rank,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Quantile National Percentile Rank
Subject,Academic Subject,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Subject
SchoolID,School ID,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,SchoolID
StudentUniqueId,Student Unique ID,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,StudentUniqueId
TestAdmin,Test Administration Period,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TestAdmin
