from,to
3_MathLev1,Number Sense and Base Ten
3_MathLev2,Number Sense - Fractions
3_MathLev3,Algebraic Thinking and Operations
3_MathLev4,Geometry
3_MathLev5,Measurement and Data Analysis
4_MathLev1,Number Sense and Base Ten
4_MathLev2,Number Sense and Operations- Fractions
4_MathLev3,Algebraic Thinking and Operations
4_MathLev4,Geometry
4_MathLev5,Measurement and Data Analysis
5_MathLev1,Number Sense and Base Ten
5_MathLev2,Number Sense and Operations- Fractions
5_MathLev3,Algebraic Thinking and Operations
5_MathLev4,Geometry
5_MathLev5,Measurement and Data Analysis
6_MathLev1,The Number System
6_MathLev2,Ratios and Proportional Relationships
6_MathLev3,"Expressions, Equations, and Inequalities"
6_MathLev4,Geometry and Measurement
6_MathLev5,Data Analysis and Statistics
7_MathLev1,The Number System
7_MathLev2,Ratios and Proportional Relationships
7_MathLev3,"Expressions, Equations, and Inequalities"
7_MathLev4,Geometry and Measurement
7_MathLev5,"Data Analysis, Statistics, and Probability"
8_MathLev1,The Number System
8_MathLev2,Functions
8_MathLev3,"Expressions, Equations, and Inequalities"
8_MathLev4,Geometry and Measurement
8_MathLev5,"Data Analysis, Statistics, and Probability"
3_ELALev1,Reading & Literary Text
3_ELALev2,Meaning and Context 1
3_ELALev3,"Language, Craft, and Structure 1"
3_ELALev4,Reading & Informational Text
3_ELALev5,Meaning and Context 2
3_ELALev6,"Language, Craft, and Structure 2"
3_ELALev7,Writing
3_ELALev8,"Meaning, Context, and Craft"
3_ELALev9,Language
3_ELALev10,Text-Dependent Analysis
3_ELALev11,Inquiry
4_ELALev1,Reading & Literary Text
4_ELALev2,Meaning and Context 1
4_ELALev3,"Language, Craft, and Structure 1"
4_ELALev4,Reading & Informational Text
4_ELALev5,Meaning and Context 2
4_ELALev6,"Language, Craft, and Structure 2"
4_ELALev7,Writing
4_ELALev8,"Meaning, Context, and Craft"
4_ELALev9,Language
4_ELALev10,Text-Dependent Analysis
4_ELALev11,Inquiry
5_ELALev1,Reading & Literary Text
5_ELALev2,Meaning and Context 1
5_ELALev3,"Language, Craft, and Structure 1"
5_ELALev4,Reading & Informational Text
