assessmentIdentifier,namespace,assessmentTitle,assessmentFamily,academicSubjectDescriptor,assessmentCategoryDescriptor,originalSubject,originalSubType
caa_ela_grade_10,uri://www.caaspp-elpac.org,CAA ELA Grade 10,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,ELA,SUM
caa_ela_grade_11,uri://www.caaspp-elpac.org,CAA ELA Grade 11,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,CAAELA,SUM
caa_ela_grade_3,uri://www.caaspp-elpac.org,CAA ELA Grade 3,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,CAAELA,SUM
caa_ela_grade_4,uri://www.caaspp-elpac.org,CAA ELA Grade 4,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,CAAELA,SUM
caa_ela_grade_5,uri://www.caaspp-elpac.org,CAA ELA Grade 5,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,CAAELA,SUM
caa_ela_grade_6,uri://www.caaspp-elpac.org,CAA ELA Grade 6,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,CAAELA,SUM
caa_ela_grade_7,uri://www.caaspp-elpac.org,CAA ELA Grade 7,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,CAAELA,SUM
caa_ela_grade_8,uri://www.caaspp-elpac.org,CAA ELA Grade 8,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,CAAELA,SUM
caa_ela_grade_9,uri://www.caaspp-elpac.org,CAA ELA Grade 9,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,ELA,SUM
caa_math_grade_10,uri://www.caaspp-elpac.org,CAA Math Grade 10,California Alternate Assessments (CAAs),uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,uri://www.caaspp-elpac.org/AssessmentCategoryDescriptor#SUM,Math,SUM
