codeValue,description,namespace,shortDescription,dataType
Score,Score,uri://act.org/AssessmentReportingMethodDescriptor,Score,Integer
US Rank,US Rank,uri://act.org/AssessmentReportingMethodDescriptor,US Rank,Percentile
State Rank,State Rank,uri://act.org/AssessmentReportingMethodDescriptor,State Rank,Percentile
Superscore,Superscore,uri://act.org/AssessmentReportingMethodDescriptor,Superscore,Integer
Standard Error of Measurement,Standard Error of Measurement,uri://act.org/AssessmentReportingMethodDescriptor,Standard Error of Measurement,Integer
Sum of Scale Scores,Sum of Scale Scores,uri://act.org/AssessmentReportingMethodDescriptor,Sum of Scale Scores,Integer
Sum of Superscores,Sum of Superscores,uri://act.org/AssessmentReportingMethodDescriptor,Sum of Superscores,Integer
Points Earned,Points Earned,uri://act.org/AssessmentReportingMethodDescriptor,Points Earned,Percentage
Points Possible,Points Possible,uri://act.org/AssessmentReportingMethodDescriptor,Points Possible,Integer
Subject Score,Subject Score,uri://act.org/AssessmentReportingMethodDescriptor,Subject Score,Integer
Domain Score,Domain Score,uri://act.org/AssessmentReportingMethodDescriptor,Domain Score,Percentage
Readiness Range Lower Bound,Readiness Range Lower Bound,uri://act.org/AssessmentReportingMethodDescriptor,Readiness Range Lower Bound,Integer
Super Subject Score,Super Subject Score,uri://act.org/AssessmentReportingMethodDescriptor,Super Subject Score,Integer
Progress Toward Career Readiness Indicator,Progress Toward Career Readiness Indicator,uri://act.org/AssessmentReportingMethodDescriptor,Progress Toward Career Readiness Indicator,Level
