district,school,schoolid,cert,source,state,parentrealm,REALM,realmid,name,fname,mi,lname,stateid,dob,agep,genderP,genderO,fedreportP,ethnicityO,raceO,edlevP,edlevO,edstatusP,edhsP,englishp,FIPSP,maddressP,mcityP,mstateP,mzipP,testdate,mathlev,mathss,mathadminp,mathstatuso,mathliveo,mathtimeo,infolev,infoss,infoadminp,infostatuso,infoliveo,infotimeo,readlev,readss,readadminp,readstatuso,readliveo,readtimeo, ,0.1
Sample District,Sample School,1111111,,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_1,fname_1,W,lname_1,stateid_1,11011999,17,M,,W,Prefer not to respond,,5,,1,1,Y,FIPSP_1,maddressP_1,mcityP_1,mstateP_1,mzipP_1,3/1/2017,0,70,,,,,4,76,,,,,4,75,,,,,,
Sample District,Sample School,1111111,,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_2,fname_2,O,lname_2,stateid_2,10161999,17,M,,W,Prefer not to respond,,5,,1,5,Y,FIPSP_2,maddressP_2,mcityP_2,mstateP_2,mzipP_2,3/1/2017,0,67,,,,,0,67,,,,,0,72,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_3,fname_3,E,lname_3,stateid_3,10211998,18,F,,W,Prefer not to respond,,5,,1,1,Y,FIPSP_3,maddressP_3,mcityP_3,mstateP_3,mzipP_3,3/1/2017,3,74,,,,,4,75,,,,,4,76,,,,,,
Sample District,Sample School,1111111,,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_4,fname_4,M,lname_4,stateid_4,3262000,17,F,,W,Prefer not to respond,,4,,1,1,Y,FIPSP_4,maddressP_4,mcityP_4,mstateP_4,mzipP_4,3/1/2017,3,72,,,,,0,68,,,,,3,73,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_5,fname_5,A,lname_5,stateid_5,12091998,18,F,,W,Prefer not to respond,,4,,1,1,Y,FIPSP_5,maddressP_5,mcityP_5,mstateP_5,mzipP_5,3/1/2017,3,71,,,,,3,74,,,,,4,77,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_6,fname_6,K,lname_6,stateid_6,3141999,18,M,,W,Prefer not to respond,,5,,1,1,Y,FIPSP_6,maddressP_6,mcityP_6,mstateP_6,mzipP_6,3/1/2017,3,73,,,,,4,75,,,,,4,75,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_7,fname_7,T,lname_7,stateid_7,12221999,17,M,,W,Prefer not to respond,,5,,1,1,Y,FIPSP_7,maddressP_7,mcityP_7,mstateP_7,mzipP_7,3/1/2017,3,73,,,,,4,76,,,,,4,78,,,,,,
Sample District,Sample School,1111111,,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_8,fname_8,D,lname_8,stateid_8,2151999,18,M,,B,Prefer not to respond,,5,,1,5,Y,FIPSP_8,maddressP_8,mcityP_8,mstateP_8,mzipP_8,3/1/2017,0,69,,,,,0,67,,,,,0,71,,,,,,
Sample District,Sample School,1111111,,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_9,fname_9,M,lname_9,stateid_9,9241997,19,M,,W,Prefer not to respond,,5,,1,5,Y,FIPSP_9,maddressP_9,mcityP_9,mstateP_9,mzipP_9,3/1/2017,0,66,,,,,0,70,,,,,0,65,,,,,,
Sample District,Sample School,1111111,,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_10,fname_10,P,lname_10,stateid_10,1122000,17,F,,H,Prefer not to respond,,4,,1,1,Y,FIPSP_10,maddressP_10,mcityP_10,mstateP_10,mzipP_10,3/1/2017,0,70,,,,,3,72,,,,,3,73,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_11,fname_11,M,lname_11,stateid_11,10291999,17,M,,W,Prefer not to respond,,5,,1,1,Y,FIPSP_11,maddressP_11,mcityP_11,mstateP_11,mzipP_11,3/1/2017,3,74,,,,,3,73,,,,,3,74,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_12,fname_12,M,lname_12,stateid_12,5042000,17,F,,W,Prefer not to respond,,5,,1,1,Y,FIPSP_12,maddressP_12,mcityP_12,mstateP_12,mzipP_12,3/1/2017,3,72,,,,,3,73,,,,,5,80,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_13,fname_13,S,lname_13,stateid_13,7182000,17,M,,B,Prefer not to respond,,5,,1,1,Y,FIPSP_13,maddressP_13,mcityP_13,mstateP_13,mzipP_13,3/1/2017,3,72,,,,,3,72,,,,,4,77,,,,,,
Sample District,Sample School,1111111,,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_14,fname_14,T,lname_14,stateid_14,5111999,18,F,,W,Prefer not to respond,,5,,1,5,Y,FIPSP_14,maddressP_14,mcityP_14,mstateP_14,mzipP_14,3/1/2017,3,72,,,,,0,70,,,,,0,71,,,,,,
Sample District,Sample School,1111111,1B,WKPP,WKEY SC 2017,111,Sample REALM,111111,name_15,fname_15,K,lname_15,stateid_15,11161998,18,M,,W,Prefer not to respond,,5,,1,1,Y,FIPSP_15,maddressP_15,mcityP_15,mstateP_15,mzipP_15,3/1/2017,3,71,,,,,3,72,,,,,4,76,,,,,,
