Order Number,Test,State Name,Region Name,Region Code,System Name,System Code,District Name,District Code,Building Name,Building Code,Class Name,Class Code,Class Grade,Date Tested,Student Last Name,Student First Name,Student Name/Middle Initial,GUID,Student ID,Secondary Student ID,Student Gender,Date of Birth,Age in Months,Age in Years/Months,Ethnicity String,Filler,Battery,Level,Form,Norm Year,Quartermonth,Semester,Home Reporting,Programs String,Other Info Field 1 Value,Other Info Field 2 Value,Other Info Field 3 Value,Other Info Field 4 Value,Filler,Office Use Subtest Exclusion,Filler,Office Use Only Z Value,Code Character String (A-T),Filler,Test Administrator Use A Value,Filler,Test Administrator Use B Value,Filler,Test Administrator Use C Value,Filler,Test Administrator Use D Value,Filler,Test Administrator Use E Value,Filler,Test Administrator Use F Value,Test Administrator Use G Value,Test Administrator Use H Value,Test Administrator Use I Value,Test Administrator Use J Value,Test Administrator Use K Value,Test Administrator Use L Value,Test Administrator Use M Value,Filler,Test Administrator Use N Value,Filler,Test Administrator Use O Value,Filler,Test Administrator Use P Value,Filler,Test Administrator Use Q Value, Filler,Test Administrator Use R Value,Filler,Test Administrator Use S Value,Filler,Number Attempted (NA),Completion Criteria (CC),Raw Score (RS),Standard Score (SS),Grade Equivalent (GE),Filler,National Percentile Rank (NPR),Filler,National Curve Equivalent (NCE),National Stanine (NS),Filler,PR Valid Flag,Filler,Filler,Filler,Filler,Filler,Predicted Standard Score (PSS),Predicted Grade Equivalent (PGE),Predicted National Percentile Rank (PNPR),Predicted Standard Score Diffs,Predicted Grade Equivalent Diffs,Significant Diff Indicators,Local Percentil Rank,Local Stanine,Catholic - Private PR,HSES PR,Predicted SAT Critical Reading High,Predicted SAT Critical Reading Low,Predicted SAT Math High,Predicted SAT Math Low,Predicted ACT Composite High,Predicted ACT Composite Low,Filler,Filler,Filler,Filler,Filler,LSES PR,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Filler,Iowa Skill Domain and Cognitive Difficulty Levels Percent Correct,Filler,Common Core Standards (CSS) Domain Percent Correct,College Readiness,Item Responses,Standard Score based on 2011 or 2005 norms,Grade Equivalent based on 2011 or 2005 norms,National Percentile Rank based on 2011 or 2005 norms,National Stanine based on 2011 or 2005 norms,Mode of Administration,Testinstance GUID,Common Core Standards (CSS) without Computation Domain Percent Correct,State Predicted Scale Score: Low Score of Range,State Predicted Scale Score: High Score of Range,State Predicted Scale Score,Filler,RaceI,RaceA,RaceB,Hispanic,RaceP,RaceW,Other,NotHispanic,SpecialEd,504,IEP,GT,FRL,ELL,Migrant,Title1Math,Title1Language,Other1,Other2,NA_R,NA_M,RS_R,RS_M,SS_R,SS_M,NPR_R,NPR_M,NCE_R,NCE_M,NS_R,NS_M
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher01,,2,10162023,LastName01,FirstName01,MiddleName01,,8888555572,45761,F,6142016,88,704,0010000      0,,C,7,G,17,Fall,1,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,31                    29,165                              153,2.6                                         1.9,,69                    39,,60                    44,6          4,,11   1 11111111111111111  11,,,,,,158154         158   157159154157155153155156156156156157161157157157157      156158,2.2 2.0             2.2     2.2 2.3 2.0 2.2 2.0 2.1 2.1 2.1 2.1 2.1 2.1 2.2 2.4 2.2 2.2 2.1 2.1         2.1 2.2,5344      54  5154435144464549494747506051515151    4754,2-Jul,0.4                                        -0.1,0,,,,62                    34,,,,,,,,,,,,81                    58,,,,,,,,,,50 93 90 93 82 93 83100                                     64 67 78 75 75 92 55 86,,50 93 82100 91                20 43 75 75,,ACBABCBABC2CABBCACB3CCB2AC3CBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBC1ABCB11313A2CB2BAA3C2BACAA2AD400000000000000000000000000000000000000000000000000000000000000000000000000000000000,165                              153,2.6                                         1.9,69                    39,6          4,0,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,35,41,31,29,165,153,69,39,60,44,6,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher02,27764,2,10162023,LastName02,FirstName02,MiddleName02,,8888555573,45762,F,3182016,91,707,0010000      0,,C,7,G,17,Fall,1,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,29                    26,159                              147,2.3                                         1.6,,56                    25,,53                    36,5          4,,11   1 11111111111111111  11,,,,,,166165         166   166169163166165157162164164166166166169165165166166      166166,2.6 2.6             2.7     2.7 2.9 2.5 2.7 2.5 2.3 2.4 2.5 2.5 2.7 2.7 2.7 2.8 2.6 2.6 2.7 2.7         2.7 2.7,7168      74  7470687070616869697373717472727575    7174,-25,-1.2,1.11E+56,,,,47                    20,,,,,,,,,,,,69                    38,,,,,,,,,,100 71 90 71 91 93 83 33                                     71 67 78 75 25 67 68 43,,100 71 76 86 91                28 33 56 75,,ACBABCBABC2CABBC3CBAC1BCACBC3ACB0A200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABC23CB2BAB13CBA1B211BABAABCCB32A22A1400000000000000000000000000000000000000000000000000000000000000000000000000000000000,159                              147,2.3                                         1.6,56                    25,5          4,0,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,34,41,29,26,159,147,56,25,53,36,5,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher03,4714,2,10162023,LastName03,FirstName03,MiddleName03,,8888555574,45763,F,12092015,94,710,0000010      1,,C,7,G,17,Fall,1,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  39 0           0 0,10   0 00001000000000000  00,35                    29,190                              153,4.1                                         1.9,,96                    39,,87                    44,9          4,,11   1 11111111111111111  11,,,,,,161159         162   161164158161160155158160160161161161165161161161161      161162,2.4 2.3             2.5     2.4 2.6 2.2 2.4 2.3 2.2 2.2 2.3 2.3 2.4 2.4 2.4 2.6 2.4 2.4 2.4 2.4         2.4 2.4,6156      64  6263546058545660606161606863636363    6064,29                                          -7,1.7                                        -0.4,1.11E+89,,,,94                    34,,,,,,,,,,,,98                    58,,,,,,,,,,100100100100100100100100                                     64100 67 75 63 83 68 57,,100100100100100                32 33 69 75,,ACBABCBABCACABBCACBACCBCACBCBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAAC1CBABC30B0C3AC11ABAA1CCB31A4D4DB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,190                              153,4.1                                         1.9,96                    39,9          4,1.00E+11,,,,,,,0,0,0,0,0,1,0,1,0,,,,,,,,,,,35,39,35,29,190,153,96,39,87,44,9,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher04,,2,10162023,LastName04,FirstName04,MiddleName04,,8888555575,45764,M,1062015,105,809,0010000      0,,C,7,G,17,Fall,1,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,19                    29,145                              153,1.5                                         1.9,,20                    39,,32                    44,3          4,,11   1 11111111111111111  11,,,,,,168169         169   169173165169168159165167167168168169172168168169169      169169,2.8 2.8             2.9     2.8 3.1 2.6 2.8 2.8 2.4 2.6 2.7 2.7 2.8 2.8 2.9 3.0 2.8 2.8 2.8 2.8         2.8 2.8,7574      79  7975737677677775757777768078788080    7779,-38,-2.2,1.11E+89,,,,18                    34,,,,,,,,,,,,31                    58,,,,,,,,,,0 50 20 79 55 64 44 67                                     71 83 78 75 50 67 77 57,,0 50 35 43 91                32 33 69 75,,AC3ABCBABCAC211C31B21C11211C3A2BC2A000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002ACABCA31BCBABC3CBAC32C11ABAABC2BA2AAD2D400000000000000000000000000000000000000000000000000000000000000000000000000000000000,145                              153,1.5                                         1.9,20                    39,3          4,0,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,,,,,35,41,19,29,145,153,20,39,32,44,3,4
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher05,,2,10162023,LastName05,FirstName05,MiddleName05,,8888555576,45765,F,2042016,92,708,0100000      0,,C,7,G,17,Fall,1,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,32                    33,169                              162,2.9                                         2.4,,77                    63,,66                    57,7          6,,11   1 11111111111111111  11,,,,,,178182         179   179185174179178163173176176179179177180177177179179      181179,3.3 3.6             3.4     3.4 3.8 3.1 3.3 3.3 2.6 3.1 3.2 3.2 3.4 3.4 3.3 3.5 3.3 3.3 3.3 3.3         3.5 3.3,9091      91  9188889192829090909292878991919393    9191,-25,-1.3,1.11E+56,,,,72                    57,,,,,,,,,,,,87                    81,,,,,,,,,,50100 80100 91100 83100                                     86100 67 75 75 83 82 71,,50100 88 86100                32 48 75 75,,ACBABCBABCAC2BBCACBACCBC2C3CBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CAC3BCAACBCBA1C32BA1BACCBABAA3C2BA1AADADB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,169                              162,2.9                                         2.4,77                    63,7          6,0,,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,35,41,32,33,169,162,77,63,66,57,7,6
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building B,8882002,Teacher06,EID17,2,10162023,LastName06,FirstName06,MiddleName06,,8888555577,45766,F,1102016,93,709,0000010      1,,C,7,G,17,Fall,1,,0,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,30                    25,161                              145,2.4                                         1.5,,61                    21,,56                    33,6          3,,11   1 11111111111111111  11,,,,,,160157         160   160162157160158154157158158159159160164160159160160      159160,2.3 2.1             2.4     2.3 2.5 2.2 2.4 2.2 2.2 2.2 2.2 2.2 2.3 2.3 2.4 2.6 2.4 2.3 2.3 2.3         2.3 2.3,5951      59  5960515853505255555656586660576060    5659,13-Jan,0.1                                        -0.7,1.10E+56,,,,52                    16,,,,,,,,,,,,74                    32,,,,,,,,,,50 86 80 86 91 93 78100                                     64100 33 75 50 83 55 43,,50 86 76 86100                32 33 44 75,,ACBABCBABCA0ABBCACBA1CBC31BCBACBC3A00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBABC31B3C13C1BA1A31C213CA224D400000000000000000000000000000000000000000000000000000000000000000000000000000000000,161                              145,2.4                                         1.5,61                    21,6          3,1.00E+11,,,,,,,0,0,0,0,0,1,0,1,0,,,,,,,,,,,34,41,30,25,161,145,61,21,56,33,6,3
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher07,14728,2,10162023,LastName07,FirstName07,MiddleName07,,8888555578,45767,F,3032016,91,707,0000010      0,,C,7,G,17,Fall,1,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,20                    34,146                              164,1.6                                         2.5,,22                    68,,34                    60,3          6,,11   1 11111111111111111  11,,,,,,165163         165   165168161165163157161163163164164165168164164165165      164165,2.6 2.5             2.6     2.6 2.8 2.4 2.6 2.4 2.3 2.4 2.5 2.5 2.6 2.6 2.6 2.8 2.6 2.6 2.6 2.6         2.6 2.6,6964      72  7269636866616667676969697370707373    6772,-19                                           1,-1.0                                         0.1,1.10E+89,,,,20                    63,,,,,,,,,,,,34                    85,,,,,,,,,,25 43 40 50 82 64 50 67                                     79100 89100 63 92 77 86,,25 43 35 71 82                32 48 75100,,AC3A1CBABCAC2BBC3C1A2C3121BCBA2112300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBAB1B11A1BAC11ABAABCCBA2AADADB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,146                              164,1.6                                         2.5,22                    68,3          6,0,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,35,41,20,34,146,164,22,68,34,60,3,6
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher08,,2,10162023,LastName08,FirstName08,MiddleName08,,8888555579,45768,M,11242015,95,711,0000010      0,,C,7,G,17,Fall,1,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,32                    33,169                              162,2.9                                         2.4,,77                    63,,66                    57,7          6,,11   1 11111111111111111  11,,,,,,154149         154   153154151153151151151152152152152153156153153153153      152154,2.0 1.8             2.0     2.0 2.0 1.8 2.0 1.8 1.9 1.9 1.9 1.9 1.9 1.9 2.0 2.1 1.9 1.9 1.9 1.9         1.9 2.0,4333      42  4043353834393338383636404838383939    3742,15                                          11,0.9                                         0.6,1.00E+89,,,,72                    57,,,,,,,,,,,,87                    81,,,,,,,,,,100 86 90 93 91 79100100                                     79 83 78 75 88 67 86 86,,100 86 88100 91                32 43 81 75,,ACBABCBAB2ACABBCACBA1C3CACBCBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACA1CA2CBCBABCB1BAC3ACCBABAAB1CBA24A2ADB00000000000000000000000000000000000000000000000000000000000000000000000000000000000,169                              162,2.9                                         2.4,77                    63,7          6,0,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,35,41,32,33,169,162,77,63,66,57,7,6
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher09,45100,2,10162023,LastName09,FirstName09,MiddleName09,,8888555580,45769,F,12202015,94,710,0100000      1,,C,7,G,17,Fall,1,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,34                    36,182                              170,3.6                                         2.9,,93                    81,,81                    68,8          7,,11   1 11111111111111111  11,,,,,,175177         175   175180171175174161170173173175175174177174174175175      176175,3.2 3.3             3.2     3.1 3.5 2.9 3.1 3.1 2.5 2.9 3.0 3.0 3.1 3.1 3.1 3.3 3.1 3.1 3.1 3.1         3.2 3.1,8785      87  8783848687758685858888838688888989    8787,4-Jul,0.4                                        -0.2,0,,,,90                    77,,,,,,,,,,,,97                    92,,,,,,,,,,100 93100 93100 93100100                                     86100 78100 88 92 91 71,,100 93 94100100                36 48 81100,,ACBABCBABCACABBCACBAC1BCACBCBACBCAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBABCB1BACBAC1BABAABC2BA2AADA2B00000000000000000000000000000000000000000000000000000000000000000000000000000000000,182                              170,3.6                                         2.9,93                    81,8          7,1.00E+11,,,,,,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,35,41,34,36,182,170,93,81,81,68,8,7
,IOWA,SC,SC,,Fake District Name 01,8881,Fake District Name 01,8881,Building A,8881001,Teacher10,14728,2,10162023,LastName10,FirstName10,MiddleName10,,8888555581,45770,F,1252016,93,709,0001010      0,,C,7,G,17,Fall,1,,100000,,,,,,00   0 00000000000000000  00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35 0       0     0 0  41 0           0 0,10   0 00001000000000000  00,31                    31,165                              157,2.6                                         2.1,,69                    50,,60                    50,6          5,,11   1 11111111111111111  11,,,,,,166165         166   166169163166165157162164164166166166169165165166166      166166,2.6 2.6             2.7     2.7 2.9 2.5 2.7 2.5 2.3 2.4 2.5 2.5 2.7 2.7 2.7 2.8 2.6 2.6 2.7 2.7         2.7 2.7,7168      74  7470687070616869697373717472727575    7174,-9,0.0                                        -0.4,0,,,,62                    44,,,,,,,,,,,,81                    71,,,,,,,,,,100 79100 86 82 93 83100                                     71100 56 75 88100 68 57,,100 79 88 86 91                40 33 69 75,,ACBA1CBABCACABBCACB3CCBCACBCB3C1CAA00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000CACABCAACBCBABCBCBAC3AC21ABAA3CC122A41AD100000000000000000000000000000000000000000000000000000000000000000000000000000000000,165                              157,2.6                                         2.1,69                    50,6          5,0,,,,,,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,,,,,,35,41,31,31,165,157,69,50,60,50,6,5
