Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Season,Final_Date,early_reading_english_composite_score,early_reading_english_percentile_at_school,early_reading_english_percentile_at_lea,early_reading_english_percentile_at_nation,early_reading_english_risk_level,concepts_of_print_total_items,concepts_of_print_items_correct,concepts_of_print_ic_per_minute,concepts_of_print_error_total_items_items_correct,concepts_of_print_percentile_at_school,concepts_of_print_percentile_at_lea,concepts_of_print_percentile_at_nation,concepts_of_print_risk_level,decodable_words_total_words_read,decodable_words_words_read_correct,decodable_words_wrc_per_minute,decodable_words_percentile_at_school,decodable_words_percentile_at_lea,decodable_words_percentile_at_nation,decodable_words_risk_level,letter_names_total_words_read,letter_names_words_read_correct,letter_names_wrc_per_minute,letter_names_percentile_at_school,letter_names_percentile_at_lea,letter_names_percentile_at_nation,letter_names_risk_level,letter_sounds_total_words_read,letter_sounds_words_read_correct,letter_sounds_wrc_per_minute,letter_sounds_percentile_at_school,letter_sounds_percentile_at_lea,letter_sounds_percentile_at_nation,letter_sounds_risk_level,nonsense_words_total_words_read,nonsense_words_words_read_correct,nonsense_words_wrc_per_minute,nonsense_words_percentile_at_school,nonsense_words_percentile_at_lea,nonsense_words_percentile_at_nation,nonsense_words_risk_level,onset_sounds_total_items,onset_sounds_items_correct,onset_sounds_ic_per_minute,onset_sounds_error_total_items_items_correct,onset_sounds_percentile_at_school,onset_sounds_percentile_at_lea,onset_sounds_percentile_at_nation,onset_sounds_risk_level,oral_repetition_total_items,oral_repetition_items_correct,oral_repetition_ic_per_minute,oral_repetition_error_total_items_items_correct,oral_repetition_percentile_at_school,oral_repetition_percentile_at_lea,oral_repetition_percentile_at_nation,oral_repetition_risk_level,word_rhyming_total_items,word_rhyming_items_correct,word_rhyming_ic_per_minute,word_rhyming_error_total_items_items_correct,word_rhyming_percentile_at_school,word_rhyming_percentile_at_lea,word_rhyming_percentile_at_nation,word_rhyming_risk_level,sentence_reading_total_words_read,sentence_reading_words_read_correct,sentence_reading_wrc_per_minute,sentence_reading_percentile_at_school,sentence_reading_percentile_at_lea,sentence_reading_percentile_at_nation,sentence_reading_risk_level,sight_words_total_words_read,sight_words_words_read_correct,sight_words_wrc_per_minute,sight_words_percentile_at_school,sight_words_percentile_at_lea,sight_words_percentile_at_nation,sight_words_risk_level,word_blending_total_items,word_blending_items_correct,word_blending_ic_per_minute,word_blending_error_total_items_items_correct,word_blending_percentile_at_school,word_blending_percentile_at_lea,word_blending_percentile_at_nation,word_blending_risk_level,word_segmenting_total_items,word_segmenting_items_correct,word_segmenting_ic_per_minute,word_segmenting_error_total_items_items_correct,word_segmenting_percentile_at_school,word_segmenting_percentile_at_lea,word_segmenting_percentile_at_nation,word_segmenting_risk_level,cbmr_english_total_words_read,cbmr_english_words_read_correct,cbmr_english_wrc_per_minute,cbmr_english_median_accuracy,cbmr_english_error_twr_wrc,cbmr_english_percentile_at_school,cbmr_english_percentile_at_lea,cbmr_english_percentile_at_nation,cbmr_english_risk_level,decodable_words_error,letter_names_error,letter_sounds_error,nonsense_words_error,sentence_reading_error,sight_words_error,growth_score_from_fall,school_growth_percentile_from_fall,district_growth_percentile_from_fall,national_growth_percentile_from_fall,growth_percentile_by_start_score_from_fall,growth_score_from_winter,school_growth_percentile_from_winter,district_growth_percentile_from_winter,national_growth_percentile_from_winter,growth_percentile_by_start_score_from_winter,growth_score_from_spring,school_growth_percentile_from_spring,district_growth_percentile_from_spring,national_growth_percentile_from_spring,growth_percentile_by_start_score_from_spring,growth_score_from_screening_period_4,school_growth_percentile_from_screening_period_4,district_growth_percentile_from_screening_period_4,national_growth_percentile_from_screening_period_4,growth_percentile_by_start_score_from_screening_period_4
Early Reading English,,,,,,,,,,,,,,Kindergarten,Fall,8/18/2022,28,27.380953,21.577381,13,someRisk,12,5,3.26,7,27.380953,22.321428,21,someRisk,,,,,,,,12,1,1,10.714286,13.541667,8,highRisk,10,0,0,0,0,13,someRisk,,,,,,,,16,8,4.03,8,46.42857,42.559525,27,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,0.8348624,19.00545,33.93581,28,49,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,0.9116279,39.032696,46.807434,39,54,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,1.139535,83.78747,80.78548,72,85,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,0.98130846,49.52316,59.07939,50,58,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,0.90625,35.490463,45.574326,38,56,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,1.0275229,62.46594,65.86149,57,70,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,0.75,8.514986,23.429054,18,43,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,1.2877359,88.52224,92.51689,86,91,,,,,,,,,,,,,,,
Early Reading English,,,,,,,,,,,,,,Kindergarten,Spring,3/24/2023,54,12.087913,23.011364,12,highRisk,,,,,,,,,,,,,,,,,,,,,,,18,14,14,4.3956046,11.363636,4,highRisk,8,7,7,15.384615,27.130682,17,someRisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,1,4.3956046,8.664773,5,highRisk,,,,,,,,,34,31,22.96,3,67.03297,54.971592,58,lowRisk,,,,,,,,,,,,4,1,,10,0.9074074,37.87466,45.988174,39,64,,,,,,,,,,,,,,,
