assessmentIdentifier,originalGrade,edfi_descriptor
beacon_ela,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
beacon_ela,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
beacon_ela,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
beacon_ela,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
beacon_ela,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
beacon_ela,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
beacon_ela,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
beacon_ela,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
beacon_ela,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
beacon_math,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
beacon_math,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
beacon_math,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
beacon_math,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
beacon_math,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
beacon_math,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
beacon_math,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
beacon_math,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
beacon_math,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
