codeValue,namespace,shortDescription,description
01,uri://collegeboard.org,AP Scholar,AP Scholar
02,uri://collegeboard.org,AP Scholar with Honor,AP Scholar with Honor
03,uri://collegeboard.org,AP Scholar with Distinction,AP Scholar with Distinction
04,uri://collegeboard.org,State AP Scholar,State AP Scholar
05,uri://collegeboard.org,National AP Scholar,National AP Scholar
06,uri://collegeboard.org,National AP Scholar (Canada),National AP Scholar (Canada)
07,uri://collegeboard.org,AP International Diploma,AP International Diploma
08,uri://collegeboard.org,DoDEA AP Scholar,DoDEA AP Scholar
09,uri://collegeboard.org,International AP Scholar,International AP Scholar
12,uri://collegeboard.org,National AP Scholar (Bermuda),National AP Scholar (Bermuda)
13,uri://collegeboard.org,AP Capstone Diploma,AP Capstone Diploma
14,uri://collegeboard.org,AP Seminar and Research Certificate,AP Seminar and Research Certificate
