codeValue,description,namespace,shortDescription,reportingMethodDescriptor
Approaching Proficiency,Approaching Proficiency,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Approaching Proficiency,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
Limited Proficiency,Limited Proficiency,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Limited Proficiency,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
Proficient,Proficient,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Proficient,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
Not Proficient,Not Proficient,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Not Proficient,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
Satisfactory,Satisfactory,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Satisfactory,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
Excellent,Excellent,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Excellent,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
Limited,Limited,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Limited,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
Unsatisfactory,Unsatisfactory,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,Unsatisfactory,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Comprehension Level
BR-25,BR-25,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,BR-25,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
26-199,26-199,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,26-199,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
200-299,200-299,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,200-299,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
300-499,300-499,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,300-499,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
500-699,500-699,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,500-699,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
700-749,700-749,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,700-749,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
750-949,750-949,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,750-949,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
950 Up,950 Up,uri://fountasandpinnell.com/bas/PerformanceLevelDescriptor,950 Up,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor#Lexile Level
