assessmentIdentifier,codeValue,description,namespace,shortDescription
aMath,Fall,Fall assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
aMath,Winter,Winter assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
aMath,Spring,Spring assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
aMath,Summer,Summer assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Summer
aMath,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
aMath,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
aReading,Fall,Fall assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Fall
aReading,Winter,Winter assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Winter
aReading,Spring,Spring assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Spring
aReading,Summer,Summer assessment period,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Summer
aReading,Screening Period 4,Screening Period 4,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 4
aReading,Screening Period 5,Screening Period 5,uri://fastbridge.org/assessment/AssessmentPeriodDescriptor,Screening Period 5
