codeValue,description,namespace,shortDescription
Absent,The student was absent on the day of the test,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Absent
Other Assessment OR Duplicate,The student took another assessment OR this was a duplicate registration/attempt,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Other Assessment OR Duplicate
1st Year in US English Learner,The student is learning English and is in their first year in the U.S.,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,1st Year in US English Learner
Withdrew Before/During Testing,The student withdrew from the test before or during testing,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Withdrew Before/During Testing
Student Test Refusal,The student refused to take the test,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Student Test Refusal
State Use Only 05,Indicator for state use only,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,State Use Only 05
State Use Only 10,Indicator for state use only,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,State Use Only 10
Misadministration,The test was misadministered,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Misadministration
Medical Exemption,The student had a medical exemption for the test,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Medical Exemption
Part Time Public/Home School,The student is home schooled and attends public school part time,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Part Time Public/Home School
Parent Excuse,The student was excused from the test by a parent,uri://www.cde.state.co.us/assessment/cmas/ReasonNotTestedDescriptor,Parent Excuse
