student_number,suns,firstname,lastname,middlename,dob,gendercode,ishispanic,reportingethnicity,testfamilydefinition,administration,startdate,enddate,collectionid,schoolyear,districtcode,testadministration,datetaken,schoolcode,id,studentid,gradelevel,motorscore,motorpercentile,conceptsscore,conceptspercentile,languagescore,languagepercentile,totalscore,totalpercentile,transferitemid,source,_enrich_cansubmit,_enrich_datecollected,_enrich_datemodified,_enrich_datesubmitted,_enrich_errorcount,_enrich_externalid,_enrich_fileid,_enrich_id,_enrich_infocount,_enrich_isedited,_enrich_warningcount
11110,1111111110,Name0,LastName0,MiddleName0,2011-11-22T00:00:00Z,M,TRUE,H,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-05-27T00:00:00Z,47,308F6301-F49B-49D6-92A7-87FF46380DED,C8EF829E-CFC3-407E-91C1-EA2B1A404830,PK,18,12,18,18,20,50,,,,,TRUE,2024-11-25T11:45:37.027Z,2024-11-25T11:45:37.027Z,,0,3da6160a-75b1-4b8c-b0aa-96cddbd3be43,10C21A26-AE6E-4EB0-8C42-34707A632526,3B9F1FFF-B26D-4990-A76F-CD606E62D3EF,0,FALSE,0
11111,1111111111,Name1,LastName1,MiddleName1,2012-07-29T00:00:00Z,F,TRUE,H,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-01T00:00:00Z,47,E1C0DCC5-F3DB-4D75-BEBB-970DFAB8F9F4,12D3165E-EAB1-48B5-B966-07C278203009,PK,15,31,17,40,17,60,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,f686da8e-fc31-4676-b2a2-1640a752095e,10C21A26-AE6E-4EB0-8C42-34707A632526,3A20166B-CFFB-4020-B1D7-A13D91F8FF64,0,FALSE,0
11112,1111111112,Name2,LastName2,MiddleName2,2011-12-02T00:00:00Z,M,FALSE,B,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-05-27T00:00:00Z,48,9396EB56-3128-4DC0-960F-563A109B6767,341948BD-0A4E-4004-B84C-07A1AC00FCAD,PK,15,8,12,5,16,31,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,4753cfc9-fda5-4db6-bff0-54afacaf4f54,10C21A26-AE6E-4EB0-8C42-34707A632526,F6476C48-478F-4760-943E-DA175A393C89,0,FALSE,0
11113,1111111113,Name3,LastName3,MiddleName3,2012-02-17T00:00:00Z,F,FALSE,W,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-02T00:00:00Z,49,A80B3CF7-BEDB-4511-A828-375C8C777122,2346332A-A8F1-4DDF-B484-0777B91D7A5C,PK,18,29,22,59,21,71,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,be815cbf-f29e-44ef-b1dd-bbc438c28d2f,10C21A26-AE6E-4EB0-8C42-34707A632526,E2350790-9515-42B6-9CCF-98BA03299942,0,FALSE,0
11114,1111111114,Name4,LastName4,MiddleName4,2011-12-22T00:00:00Z,M,TRUE,H,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-01T00:00:00Z,49,C6866CFB-28CA-40CF-9577-C0B935CD0A0F,D14E2524-64DC-4433-9C92-29569128CFA2,PK,15,8,17,19,10,7,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,eb0336b4-00ee-4323-9f77-ec9a5fe3f300,10C21A26-AE6E-4EB0-8C42-34707A632526,B264D7B3-0CF8-4A84-94FE-23A477D3EA80,0,FALSE,0
11115,1111111115,Name5,LastName5,MiddleName5,2012-08-07T00:00:00Z,F,TRUE,H,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-01T00:00:00Z,49,3B47C4E7-A029-4830-8C65-704367B216A0,9588E9B8-34E0-4733-ABA0-28C69AF91919,PK,14,35,15,33,4,4,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,3f8661f4-b5f8-4a7b-95e6-19386a486b87,10C21A26-AE6E-4EB0-8C42-34707A632526,0BEFA782-BA49-4DFE-8AD6-47C5A3F17AFD,0,FALSE,0
11116,1111111116,Name6,LastName6,MiddleName6,2012-04-10T00:00:00Z,F,FALSE,B,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-01T00:00:00Z,42,78EADC92-08D2-400A-B826-DA525306037F,E59DEE6D-A29E-42A0-B295-28C0D6CFFFF6,PK,19,49,18,39,16,46,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,2ec6913e-ef17-4fd6-aca7-77b30a411e58,10C21A26-AE6E-4EB0-8C42-34707A632526,8D5D3E8F-56B5-4368-B412-267C4183456F,0,FALSE,0
11117,1111111117,Name7,LastName7,MiddleName7,2012-04-23T00:00:00Z,F,FALSE,M,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-05-31T00:00:00Z,42,CBADA263-3598-4A7A-982F-F0F31BE64950,C86C00FB-1FD2-4689-8570-0EA276C81CD4,PK,25,90,20,53,17,53,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,9f7956d5-a011-401e-8c69-5e5ade7fa051,10C21A26-AE6E-4EB0-8C42-34707A632526,EE2E88A8-C0A5-480F-849D-1FC92E1BC36A,0,FALSE,0
11118,1111111118,Name8,LastName8,MiddleName8,2012-01-01T00:00:00Z,M,FALSE,A,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-05-27T00:00:00Z,48,3B03B8D2-5F7C-49F2-BE22-181D8EE9A1D5,F2F24C6E-192A-45D3-B174-0E3BAE555F93,PK,23,55,22,51,19,50,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,3265b207-f3cc-49f7-bb10-53d09134a413,10C21A26-AE6E-4EB0-8C42-34707A632526,6E294E79-0392-4EF3-AC02-86B794F5ADD8,0,FALSE,0
11119,1111111119,Name9,LastName9,MiddleName9,2012-06-01T00:00:00Z,M,FALSE,B,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-05-31T00:00:00Z,42,EA9E2ADE-9953-4B75-9122-9F688C673714,8B832DA4-332D-400F-A981-0D94B4AACD54,PK,23,87,19,54,19,73,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,f69a6aac-4bb4-40ba-9b2c-872f44793d2b,10C21A26-AE6E-4EB0-8C42-34707A632526,0C47BE70-D906-4368-8257-59ADB6C49581,0,FALSE,0
11120,1111111120,Name10,LastName10,MiddleName10,2011-09-30T00:00:00Z,F,FALSE,A,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-29T00:00:00Z,45,A0BB9E45-A416-44B2-B039-884D62978EEC,5F12ED97-B6D7-4BFB-AC86-0C59EE0FAF74,PK,23,32,23,44,12,7,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,2660bf1f-768e-4efe-9977-04ddfe8a6675,10C21A26-AE6E-4EB0-8C42-34707A632526,BE70EB52-001D-4D4A-B95D-C525D6543656,0,FALSE,0
11121,1111111121,Name11,LastName11,MiddleName11,2012-05-08T00:00:00Z,F,FALSE,M,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-02T00:00:00Z,47,53C0AA3D-C310-485D-9065-0BB10C5A0CCF,2D4C3FE5-9D5A-4FFF-90BD-0AEA1133EFA5,PK,22,72,21,60,24,90,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,41d52844-1b02-432e-bd14-f5feaf7db499,10C21A26-AE6E-4EB0-8C42-34707A632526,1AB8A80A-D72B-4853-BBBA-A181CF7CD94F,0,FALSE,0
11122,1111111122,Name12,LastName12,MiddleName12,2011-09-20T00:00:00Z,F,FALSE,W,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-02T00:00:00Z,49,952B66DD-3751-4F0F-AFFD-04657EE0FD03,BF22F71F-C127-4115-A59D-0A5CE5B03D94,PK,25,48,32,95,21,49,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,7ec5980e-efaf-48bc-ad9d-60f0e2272672,10C21A26-AE6E-4EB0-8C42-34707A632526,723A2C37-F5E9-43A0-BF22-5CD59661CC6F,0,FALSE,0
11123,1111111123,Name13,LastName13,MiddleName13,2011-11-28T00:00:00Z,M,FALSE,W,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-01T00:00:00Z,47,96549DA7-40FA-4333-B35F-5FDC8E997435,76491596-825F-4E44-9899-09267AB774EA,PK,25,60,25,65,25,81,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,e882c9af-a092-4055-b0fb-04c6bb0f412d,10C21A26-AE6E-4EB0-8C42-34707A632526,D5A0966B-0906-4C35-8D36-C66260E263CD,0,FALSE,0
11124,1111111124,Name14,LastName14,MiddleName14,2011-09-20T00:00:00Z,F,FALSE,B,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-29T00:00:00Z,47,353567D7-B577-433F-894C-F8AA1C4B9B3A,E92C7D76-0F9A-41CE-8240-08F7336C56F9,PK,17,6,22,37,16,19,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,b8ed6a12-da60-4b83-92ec-362d001ff4e0,10C21A26-AE6E-4EB0-8C42-34707A632526,F4AE8F73-DD4D-4F8F-A4A5-32A89557D657,0,FALSE,0
11125,1111111125,Name15,LastName15,MiddleName15,2012-08-07T00:00:00Z,M,FALSE,B,DIAL-3 / DIAL-4,Spring 2016 DIAL-4,2016-03-03T00:00:00Z,2016-06-29T00:00:00Z,DIAH,2025,3205,D9233E5E-7D14-4519-9998-8A05C418AB65,2016-06-29T00:00:00Z,49,F575F0AB-8D51-4543-BBC5-D676F7374247,1533531E-6482-4E52-9062-38B9ED018444,PK,2,1,22,74,10,17,,,,,TRUE,2024-11-25T11:45:34.183Z,2024-11-25T11:45:34.183Z,,0,3494dc17-9a9c-4747-ad21-04f659839647,10C21A26-AE6E-4EB0-8C42-34707A632526,35B96ACA-E286-406F-B2AB-742F0B2F0809,0,FALSE,0
